Location,"Lat, Long",Address,Property Score,#Green_Rooms,#Total_Rooms,#Proposed_Beds,Reject_Property,Updated Location
https://goo.gl/maps/jM2xAa4gdjvxyhCD6,"28.452764, 77.054260","HOUSE NO 977, SECTOR 31 ",6.85,7,11,19,YES,"https://www.google.com/maps/place/28%C2%B027'10.0%22N+77%C2%B003'15.3%22E/@28.4527645,77.0520716,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4527645!4d77.0542603?q=28.4527645111084,77.05426025390625&z=17&hl=en&shorturl=1"
"https://www.google.com/maps/place/28%C2%B029'33.9%22N+77%C2%B005'41.9%22E/@28.492756,77.0927773,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.492756!4d77.094966?hl=en-US","28.492756,77.0927773,","U- 34/70, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122022",6.55,21,22,42,NO,"https://www.google.com/maps/place/28%C2%B029'33.9%22N+77%C2%B005'41.9%22E/@28.492756,77.0927773,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.492756!4d77.094966?hl=en-US"
"https://www.google.com/maps/place/28%C2%B029'38.7%22N+77%C2%B005'44.1%22E/@28.4941439,77.0949104,19z/data=!4m5!3m4!1s0x0:0x0!8m2!3d28.4940812!4d77.0955769?hl=en","28.4941439,77.0949104","Easy day,13, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002",7.35,54,62,162,YES,"https://www.google.com/maps/place/28%C2%B029'38.7%22N+77%C2%B005'44.1%22E/@28.4941439,77.0949104,19z/data=!4m5!3m4!1s0x0:0x0!8m2!3d28.4940812!4d77.0955769?hl=en"
https://goo.gl/maps/xG1rGc8QaeEbhB9J9,"28.433583, 77.051056","Plot no 1135, Sector 46 ",8.7,21,21,42,YES,"https://www.google.com/maps/place/28%C2%B026'00.9%22N+77%C2%B003'03.8%22E/@28.433569,77.0488618,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.433569!4d77.0510505?hl=en&shorturl=1"
https://goo.gl/maps/WbVqnjUG2nWPmStL7,"28.472556, 77.081750","PLOT NO - 29 , CHAKKARPUR ,DLF PHASE 4",8.1,40,40,88,NO,"https://www.google.com/maps/place/28%C2%B028'21.2%22N+77%C2%B004'54.3%22E/@28.4725427,77.0795715,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4725427!4d77.0817602?hl=en&shorturl=1"
"https://www.google.com/maps/place/28%C2%B029'18.6%22N+77%C2%B005'46.0%22E/@28.4884853,77.0939112,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4884853!4d77.0960999?hl=en","28.4884853,77.0939112","U 63/9 ,DLF Phase 3",1.3,10,13,19,YES,"https://www.google.com/maps/place/28%C2%B029'18.6%22N+77%C2%B005'46.0%22E/@28.4884853,77.0939112,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4884853!4d77.0960999?hl=en"
"https://www.google.com/maps/place/28%C2%B029'20.1%22N+77%C2%B005'47.3%22E/@28.4889278,77.094285,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4889278!4d77.0964737?hl=en","28.4889278,77.094285,","U- 60/31, Dlf Phase 3",1.3,12,13,24,YES,"https://www.google.com/maps/place/28%C2%B029'20.1%22N+77%C2%B005'47.3%22E/@28.4889278,77.094285,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4889278!4d77.0964737?hl=en"
"https://www.google.com/maps/place/28%C2%B029'50.9%22N+77%C2%B003'34.3%22E/@28.4974752,77.0573375,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4974752!4d77.0595262?hl=en","28.4974752,77.0573375","AYUSG PG,HOUSE NO-423,GALI NO.-9,SATGURU ENCLAVE,GURUGRAM",7.75,10,10,20,NO,"https://www.google.com/maps/place/28%C2%B029'50.9%22N+77%C2%B003'34.3%22E/@28.4974752,77.0573375,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4974752!4d77.0595262?hl=en"
https://goo.gl/maps/WQmrpgfnBvb2AuJGA,"28.455056, 77.088417","C 2703, Sushant Lok-1, Sector 43",6,9,9,18,NO,"https://www.google.com/maps/place/28%C2%B027'18.2%22N+77%C2%B005'18.3%22E/@28.4550245,77.0883848,20.83z/data=!4m5!3m4!1s0x0:0x0!8m2!3d28.4550526!4d77.0884271?hl=en&shorturl=1"
https://goo.gl/maps/u7YZLmiJUCN4ue4b6,"28.420250, 77.090194",F-27G near hongkong market sec. 57,1.8,11,11,24,Yes,"https://www.google.com/maps/place/28%C2%B025'12.9%22N+77%C2%B005'24.7%22E/@28.4202423,77.0879907,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4202423!4d77.0901794?hl=en&shorturl=1"
